anio,anio_enfr,prov_id,prov_nombre,grupo_edad,grupo_edad_10,sexo,proy_pob
2005,2005,46,La Rioja,60 a 64,60 a 69,Varón,4441
2005,2005,46,La Rioja,60 a 64,60 a 69,Mujer,4530
2005,2005,46,La Rioja,65 a 69,60 a 69,Varón,3409
2005,2005,46,La Rioja,65 a 69,60 a 69,Mujer,3883
2005,2005,46,La Rioja,70 a 74,70 a 79,Varón,2562
2005,2005,46,La Rioja,70 a 74,70 a 79,Mujer,3115
2005,2005,46,La Rioja,75 a 79,70 a 79,Varón,1905
2005,2005,46,La Rioja,75 a 79,70 a 79,Mujer,2290
2005,2005,46,La Rioja,80+,80+,Varón,1437
2005,2005,46,La Rioja,80+,80+,Mujer,2210
2005,2005,50,Mendoza,20 a 24,20 a 29,Varón,72161
2005,2005,50,Mendoza,20 a 24,20 a 29,Mujer,70370
2005,2005,50,Mendoza,25 a 29,20 a 29,Varón,70951
2005,2005,50,Mendoza,25 a 29,20 a 29,Mujer,69757
2005,2005,50,Mendoza,30 a 34,30 a 39,Varón,57401
2005,2005,50,Mendoza,30 a 34,30 a 39,Mujer,58296
2005,2005,50,Mendoza,35 a 39,30 a 39,Varón,48145
2005,2005,50,Mendoza,35 a 39,30 a 39,Mujer,50622
2005,2005,50,Mendoza,40 a 44,40 a 49,Varón,44704
2005,2005,50,Mendoza,40 a 44,40 a 49,Mujer,47693
2005,2005,50,Mendoza,45 a 49,40 a 49,Varón,42584
2005,2005,50,Mendoza,45 a 49,40 a 49,Mujer,47061
2005,2005,50,Mendoza,50 a 54,50 a 59,Varón,41581
2005,2005,50,Mendoza,50 a 54,50 a 59,Mujer,45616
2005,2005,50,Mendoza,55 a 59,50 a 59,Varón,36135
2005,2005,50,Mendoza,55 a 59,50 a 59,Mujer,40471
2005,2005,50,Mendoza,60 a 64,60 a 69,Varón,29871
2005,2005,50,Mendoza,60 a 64,60 a 69,Mujer,33834
2005,2005,50,Mendoza,65 a 69,60 a 69,Varón,23902
2005,2005,50,Mendoza,65 a 69,60 a 69,Mujer,28317
2005,2005,50,Mendoza,70 a 74,70 a 79,Varón,19358
2005,2005,50,Mendoza,70 a 74,70 a 79,Mujer,24587
2005,2005,50,Mendoza,75 a 79,70 a 79,Varón,14364
2005,2005,50,Mendoza,75 a 79,70 a 79,Mujer,20478
2005,2005,50,Mendoza,80+,80+,Varón,11904
2005,2005,50,Mendoza,80+,80+,Mujer,20531
2005,2005,54,Misiones,20 a 24,20 a 29,Varón,46083
