anio_enfr,prov_id,prov_nombre,grupo_edad_5,sexo,dm_total,dm_total_se,dm_total_cv,dm_prev,dm_prev_se,dm_prev_cv,dm_prev_cv_cat
2018,6,Buenos Aires,60-64,Varón,83613,16418.01,0.2,0.22,0.05,0.21,Alta
2018,6,Buenos Aires,65-69,Mujer,92936,16149.87,0.17,0.26,0.04,0.16,Moderada
2018,6,Buenos Aires,65-69,Varón,47407,10919.66,0.23,0.15,0.03,0.22,Alta
2018,6,Buenos Aires,70-74,Mujer,47874,13024.27,0.27,0.19,0.04,0.23,Alta
2018,6,Buenos Aires,70-74,Varón,87883,20616.28,0.23,0.32,0.06,0.19,Moderada
2018,6,Buenos Aires,75-79,Mujer,33232,7359.93,0.22,0.19,0.04,0.2,Moderada
2018,6,Buenos Aires,75-79,Varón,34166,10558.47,0.31,0.17,0.05,0.3,Alta
2018,6,Buenos Aires,80+,Mujer,32404,7151.28,0.22,0.16,0.03,0.22,Alta
2018,6,Buenos Aires,80+,Varón,29978,10450.96,0.35,0.23,0.07,0.32,Muy alta
2018,10,Catamarca,35-39,Mujer,986,575.5,0.58,0.09,0.06,0.65,Muy alta
2018,10,Catamarca,35-39,Varón,1624,820.17,0.51,0.14,0.07,0.53,Muy alta
2018,10,Catamarca,40-44,Mujer,1699,981.66,0.58,0.18,0.1,0.58,Muy alta
2018,10,Catamarca,40-44,Varón,1114,499.72,0.45,0.15,0.07,0.45,Muy alta
2018,10,Catamarca,45-49,Mujer,1586,703.88,0.44,0.16,0.07,0.46,Muy alta
2018,10,Catamarca,45-49,Varón,1125,672.37,0.6,0.2,0.12,0.61,Muy alta
2018,10,Catamarca,50-54,Mujer,761,392.34,0.52,0.11,0.06,0.54,Muy alta
2018,10,Catamarca,50-54,Varón,756,365.58,0.48,0.11,0.06,0.52,Muy alta
2018,10,Catamarca,55-59,Mujer,1151,460.91,0.4,0.23,0.09,0.41,Muy alta
2018,10,Catamarca,55-59,Varón,757,505.32,0.67,0.18,0.11,0.6,Muy alta
2018,10,Catamarca,60-64,Mujer,433,446.5,1.03,0.06,0.06,1.02,Muy alta
2018,10,Catamarca,60-64,Varón,1065,726.86,0.68,0.17,0.11,0.63,Muy alta
2018,10,Catamarca,65-69,Mujer,781,491.3,0.63,0.13,0.07,0.55,Muy alta
2018,10,Catamarca,65-69,Varón,172,154.06,0.9,0.03,0.03,1.04,Muy alta
2018,10,Catamarca,70-74,Mujer,1144,809.56,0.71,0.38,0.2,0.53,Muy alta
2018,10,Catamarca,70-74,Varón,295,236.28,0.8,0.11,0.08,0.78,Muy alta
2018,10,Catamarca,75-79,Mujer,389,346.8,0.89,0.14,0.12,0.87,Muy alta
2018,10,Catamarca,75-79,Varón,360,264.16,0.73,0.18,0.15,0.83,Muy alta
2018,10,Catamarca,80+,Mujer,653,382.8,0.59,0.24,0.12,0.51,Muy alta
2018,10,Catamarca,80+,Varón,97,99.76,1.03,0.11,0.14,1.34,Muy alta
2018,14,Córdoba,35-39,Mujer,9599,4407.93,0.46,0.08,0.03,0.43,Muy alta
2018,14,Córdoba,35-39,Varón,5860,3769.48,0.64,0.06,0.04,0.64,Muy alta
2018,14,Córdoba,40-44,Mujer,11840,4486.88,0.38,0.09,0.03,0.36,Muy alta
2018,14,Córdoba,40-44,Varón,12196,6129.2,0.5,0.13,0.06,0.47,Muy alta
2018,14,Córdoba,45-49,Mujer,10987,5191.88,0.47,0.14,0.06,0.45,Muy alta
2018,14,Córdoba,45-49,Varón,21824,8570.92,0.39,0.23,0.08,0.35,Muy alta
2018,14,Córdoba,50-54,Mujer,16791,6800.6,0.41,0.21,0.08,0.37,Muy alta
2018,14,Córdoba,50-54,Varón,10616,4765.13,0.45,0.14,0.06,0.42,Muy alta
2018,14,Córdoba,55-59,Mujer,8909,3976.55,0.45,0.25,0.09,0.37,Muy alta
2018,14,Córdoba,55-59,Varón,20295,6275.11,0.31,0.23,0.07,0.3,Alta
2018,14,Córdoba,60-64,Mujer,27410,7660.99,0.28,0.28,0.07,0.25,Alta
2018,14,Córdoba,60-64,Varón,12473,5431.91,0.44,0.17,0.07,0.42,Muy alta
2018,14,Córdoba,65-69,Mujer,26309,7744.85,0.29,0.3,0.07,0.23,Alta
2018,14,Córdoba,65-69,Varón,15831,5119.03,0.32,0.25,0.07,0.27,Alta
2018,14,Córdoba,70-74,Mujer,13477,5565.92,0.41,0.27,0.09,0.35,Muy alta
2018,14,Córdoba,70-74,Varón,9878,5392.29,0.55,0.23,0.11,0.46,Muy alta
2018,14,Córdoba,75-79,Mujer,4781,2184,0.46,0.11,0.05,0.49,Muy alta
2018,14,Córdoba,75-79,Varón,4195,1915.03,0.46,0.15,0.07,0.49,Muy alta
2018,14,Córdoba,80+,Mujer,4221,3220.56,0.76,0.08,0.06,0.7,Muy alta
2018,14,Córdoba,80+,Varón,4831,2648.46,0.55,0.22,0.1,0.46,Muy alta
2018,18,Corrientes,35-39,Mujer,5411,2261.1,0.42,0.16,0.06,0.38,Muy alta
