anio,prov_res,prov_res_cat,sexo,grupo_edad,defun_dm
2005,54,Misiones,Masculino,20 a 24,0
2005,54,Misiones,Masculino,25 a 29,0
2005,54,Misiones,Masculino,30 a 34,0
2005,54,Misiones,Masculino,35 a 39,1
2005,54,Misiones,Masculino,40 a 44,2
2005,54,Misiones,Masculino,45 a 49,3
2005,54,Misiones,Masculino,50 a 54,8
2005,54,Misiones,Masculino,55 a 59,8
2005,54,Misiones,Masculino,60 a 64,11
2005,54,Misiones,Masculino,65 a 69,20
2005,54,Misiones,Masculino,70 a 74,24
2005,54,Misiones,Masculino,75 a 79,18
2005,54,Misiones,Masculino,80 y más,12
2005,54,Misiones,Femenino,10 a 14,0
2005,54,Misiones,Femenino,15 a 19,0
2005,54,Misiones,Femenino,20 a 24,0
2005,54,Misiones,Femenino,25 a 29,1
2005,54,Misiones,Femenino,30 a 34,0
2005,54,Misiones,Femenino,35 a 39,0
2005,54,Misiones,Femenino,40 a 44,0
2005,54,Misiones,Femenino,45 a 49,5
2005,54,Misiones,Femenino,50 a 54,6
2005,54,Misiones,Femenino,55 a 59,9
2005,54,Misiones,Femenino,60 a 64,8
2005,54,Misiones,Femenino,65 a 69,15
2005,54,Misiones,Femenino,70 a 74,11
2005,54,Misiones,Femenino,75 a 79,19
2005,54,Misiones,Femenino,80 y más,32
2005,58,Neuquén,Masculino,10 a 14,0
2005,58,Neuquén,Masculino,15 a 19,0
2005,58,Neuquén,Masculino,20 a 24,0
2005,58,Neuquén,Masculino,25 a 29,0
2005,58,Neuquén,Masculino,30 a 34,0
2005,58,Neuquén,Masculino,35 a 39,0
2005,58,Neuquén,Masculino,40 a 44,2
2005,58,Neuquén,Masculino,45 a 49,2
2005,58,Neuquén,Masculino,50 a 54,2
2005,58,Neuquén,Masculino,55 a 59,9
2005,58,Neuquén,Masculino,60 a 64,9
2005,58,Neuquén,Masculino,65 a 69,17
2005,58,Neuquén,Masculino,70 a 74,11
2005,58,Neuquén,Masculino,75 a 79,14
2005,58,Neuquén,Masculino,80 y más,13
2005,58,Neuquén,Femenino,10 a 14,0
2005,58,Neuquén,Femenino,15 a 19,0
2005,58,Neuquén,Femenino,20 a 24,0
2005,58,Neuquén,Femenino,25 a 29,0
2005,58,Neuquén,Femenino,30 a 34,0
2005,58,Neuquén,Femenino,35 a 39,0
2005,58,Neuquén,Femenino,40 a 44,2
2005,58,Neuquén,Femenino,45 a 49,1
2005,58,Neuquén,Femenino,50 a 54,2
2005,58,Neuquén,Femenino,55 a 59,9
2005,58,Neuquén,Femenino,60 a 64,4
2005,58,Neuquén,Femenino,65 a 69,7
2005,58,Neuquén,Femenino,70 a 74,6
2005,58,Neuquén,Femenino,75 a 79,18
2005,58,Neuquén,Femenino,80 y más,25
2005,62,Río Negro,Masculino,10 a 14,0
2005,62,Río Negro,Masculino,15 a 19,0
2005,62,Río Negro,Masculino,20 a 24,0
2005,62,Río Negro,Masculino,25 a 29,0
2005,62,Río Negro,Masculino,30 a 34,0
2005,62,Río Negro,Masculino,35 a 39,0
2005,62,Río Negro,Masculino,40 a 44,0
2005,62,Río Negro,Masculino,45 a 49,1
2005,62,Río Negro,Masculino,50 a 54,2
2005,62,Río Negro,Masculino,55 a 59,1
2005,62,Río Negro,Masculino,60 a 64,4
2005,62,Río Negro,Masculino,65 a 69,5
2005,62,Río Negro,Masculino,70 a 74,12
2005,62,Río Negro,Masculino,75 a 79,10
2005,62,Río Negro,Masculino,80 y más,5
2005,62,Río Negro,Femenino,10 a 14,0
2005,62,Río Negro,Femenino,15 a 19,0
2005,62,Río Negro,Femenino,20 a 24,0
2005,62,Río Negro,Femenino,25 a 29,0
2005,62,Río Negro,Femenino,30 a 34,0
2005,62,Río Negro,Femenino,35 a 39,0
2005,62,Río Negro,Femenino,40 a 44,1
2005,62,Río Negro,Femenino,45 a 49,0
2005,62,Río Negro,Femenino,50 a 54,0
2005,62,Río Negro,Femenino,55 a 59,0
