anio_enfr,codprov_censo,prov_nombre,region_deis,grupo_edad10,sexo,defun_n,defun_mean,lx,Tx,ex,AVP
2005,46,La Rioja,Cuyo,70 a 79,Varón,19,6.333333333333333,68546.20957,2577191.6172,37.59787205400685,238.11985634204336
2005,46,La Rioja,Cuyo,80+,Mujer,20,6.666666666666667,97889.69055,2704000.1218,27.622930531370443,184.1528702091363
2005,46,La Rioja,Cuyo,80+,Varón,12,4,96298.78607,2266735.9454,23.538572373615384,94.15428949446154
2005,50,Mendoza,Cuyo,30 a 39,Mujer,2,0.6666666666666666,98257.61885,4983143.736,50.71508748453657,33.81005832302438
2005,50,Mendoza,Cuyo,30 a 39,Varón,5,1.6666666666666667,96997.57994,4397739.3413,45.33865013972843,75.56441689954738
2005,50,Mendoza,Cuyo,40 a 49,Mujer,16,5.333333333333333,97340.83661,4492775.462499999,46.15509398692027,246.16050126357476
2005,50,Mendoza,Cuyo,40 a 49,Varón,24,8,95386.37498,3914498.4263,41.03833935528808,328.30671484230464
2005,50,Mendoza,Cuyo,50 a 59,Mujer,85,28.333333333333332,95441.65065,4007943.3663,41.99365097946365,1189.8201110848033
2005,50,Mendoza,Cuyo,50 a 59,Varón,126,42,92417.20236,3440462.4833,37.227511712571605,1563.5554919280073
2005,50,Mendoza,Cuyo,60 a 69,Mujer,224,74.66666666666667,91170.49198,3534888.1766999997,38.772283662519285,2894.9971801347733
2005,50,Mendoza,Cuyo,60 a 69,Varón,320,106.66666666666667,85071.85545,2985441.5738,35.09317573959179,3743.2720788897914
2005,50,Mendoza,Cuyo,70 a 79,Mujer,340,113.33333333333333,81312.23623,3089197.6009,37.991792430377735,4305.73647544281
2005,50,Mendoza,Cuyo,70 a 79,Varón,359,119.66666666666667,68546.20957,2577191.6172,37.59787205400685,4499.21202246282
2005,50,Mendoza,Cuyo,80+,Mujer,234,78,97889.69055,2704000.1218,27.622930531370443,2154.5885814468948
2005,50,Mendoza,Cuyo,80+,Varón,138,46,96298.78607,2266735.9454,23.538572373615384,1082.7743291863076
2005,54,Misiones,NEA,30 a 39,Mujer,2,0.6666666666666666,98257.61885,4983143.736,50.71508748453657,33.81005832302438
2005,54,Misiones,NEA,30 a 39,Varón,3,1,96997.57994,4397739.3413,45.33865013972843,45.33865013972843
2005,54,Misiones,NEA,40 a 49,Mujer,16,5.333333333333333,97340.83661,4492775.462499999,46.15509398692027,246.16050126357476
2005,54,Misiones,NEA,40 a 49,Varón,11,3.6666666666666665,95386.37498,3914498.4263,41.03833935528808,150.47391096938964
2005,54,Misiones,NEA,50 a 59,Mujer,46,15.333333333333334,95441.65065,4007943.3663,41.99365097946365,643.9026483517761
2005,54,Misiones,NEA,50 a 59,Varón,45,15,92417.20236,3440462.4833,37.227511712571605,558.412675688574
2005,54,Misiones,NEA,60 a 69,Mujer,80,26.666666666666668,91170.49198,3534888.1766999997,38.772283662519285,1033.9275643338476
2005,54,Misiones,NEA,60 a 69,Varón,82,27.333333333333332,85071.85545,2985441.5738,35.09317573959179,959.213470215509
2005,54,Misiones,NEA,70 a 79,Mujer,118,39.333333333333336,81312.23623,3089197.6009,37.991792430377735,1494.3438355948576
2005,54,Misiones,NEA,70 a 79,Varón,104,34.666666666666664,68546.20957,2577191.6172,37.59787205400685,1303.3928978722374
2005,54,Misiones,NEA,80+,Mujer,81,27,97889.69055,2704000.1218,27.622930531370443,745.819124347002
2005,54,Misiones,NEA,80+,Varón,51,17,96298.78607,2266735.9454,23.538572373615384,400.15573035146156
2005,58,Neuquén,Patagonia Norte,30 a 39,Mujer,1,0.3333333333333333,98257.61885,4983143.736,50.71508748453657,16.90502916151219
2005,58,Neuquén,Patagonia Norte,30 a 39,Varón,1,0.3333333333333333,96997.57994,4397739.3413,45.33865013972843,15.112883379909476
2005,58,Neuquén,Patagonia Norte,40 a 49,Mujer,3,1,97340.83661,4492775.462499999,46.15509398692027,46.15509398692027
2005,58,Neuquén,Patagonia Norte,40 a 49,Varón,10,3.3333333333333335,95386.37498,3914498.4263,41.03833935528808,136.79446451762695
2005,58,Neuquén,Patagonia Norte,50 a 59,Mujer,27,9,95441.65065,4007943.3663,41.99365097946365,377.9428588151729
2005,58,Neuquén,Patagonia Norte,50 a 59,Varón,27,9,92417.20236,3440462.4833,37.227511712571605,335.0476054131444
2005,58,Neuquén,Patagonia Norte,60 a 69,Mujer,36,12,91170.49198,3534888.1766999997,38.772283662519285,465.2674039502314
2005,58,Neuquén,Patagonia Norte,60 a 69,Varón,59,19.666666666666668,85071.85545,2985441.5738,35.09317573959179,690.1657895453053
2005,58,Neuquén,Patagonia Norte,70 a 79,Mujer,55,18.333333333333332,81312.23623,3089197.6009,37.991792430377735,696.5161945569251
2005,58,Neuquén,Patagonia Norte,70 a 79,Varón,78,26,68546.20957,2577191.6172,37.59787205400685,977.5446734041781
2005,58,Neuquén,Patagonia Norte,80+,Mujer,65,21.666666666666668,97889.69055,2704000.1218,27.622930531370443,598.496828179693
2005,58,Neuquén,Patagonia Norte,80+,Varón,39,13,96298.78607,2266735.9454,23.538572373615384,306.001440857
2005,62,Río Negro,Patagonia Norte,30 a 39,Mujer,1,0.3333333333333333,98257.61885,4983143.736,50.71508748453657,16.90502916151219
2005,62,Río Negro,Patagonia Norte,30 a 39,Varón,0,0,96997.57994,4397739.3413,45.33865013972843,0
2005,62,Río Negro,Patagonia Norte,40 a 49,Mujer,4,1.3333333333333333,97340.83661,4492775.462499999,46.15509398692027,61.54012531589369
2005,62,Río Negro,Patagonia Norte,40 a 49,Varón,1,0.3333333333333333,95386.37498,3914498.4263,41.03833935528808,13.679446451762693
2005,62,Río Negro,Patagonia Norte,50 a 59,Mujer,3,1,95441.65065,4007943.3663,41.99365097946365,41.99365097946365
2005,62,Río Negro,Patagonia Norte,50 a 59,Varón,13,4.333333333333333,92417.20236,3440462.4833,37.227511712571605,161.3192174211436
2005,62,Río Negro,Patagonia Norte,60 a 69,Mujer,19,6.333333333333333,91170.49198,3534888.1766999997,38.772283662519285,245.5577965292888
2005,62,Río Negro,Patagonia Norte,60 a 69,Varón,29,9.666666666666666,85071.85545,2985441.5738,35.09317573959179,339.2340321493873
2005,62,Río Negro,Patagonia Norte,70 a 79,Mujer,45,15,81312.23623,3089197.6009,37.991792430377735,569.8768864556661
2005,62,Río Negro,Patagonia Norte,70 a 79,Varón,55,18.333333333333332,68546.20957,2577191.6172,37.59787205400685,689.2943209901256
