anio_enfr,region_deis,grupo_edad10,sexo,defun_n,defun_mean,lx,nLx,ndx,nMx,nqx,Tx,ex,AVP
2013,NOA2,40 a 49,Mujer,10,1.6666666666666667,97340.83661,484832.09620000003,748.8347317,0.001544524,0.007692914,4492775.462499999,46.15509398692027,76.92515664486712
2013,NOA2,40 a 49,Varón,17,2.8333333333333335,95386.37498,474035.943,1158.372781,0.0024436390000000005,0.012144007,3914498.4263,41.03833935528808,116.2752948399829
2013,NOA2,50 a 59,Mujer,27,4.5,95441.65065,473055.1896,1661.225453,0.003511695,0.017405665999999997,4007943.3663,41.99365097946365,188.97142940758644
2013,NOA2,50 a 59,Varón,43,7.166666666666667,92417.20236,455020.9095,2826.040916,0.006210794,0.030579165,3440462.4833,37.227511712571605,266.79716727342986
2013,NOA2,60 a 69,Mujer,57,9.5,91170.49198,445690.5758,4064.753633,0.009120125,0.044584092,3534888.1766999997,38.772283662519285,368.3366947939332
2013,NOA2,60 a 69,Varón,75,12.5,85071.85545,408249.9566,6843.728265,0.016763574,0.080446444,2985441.5738,35.09317573959179,438.6646967448974
2013,NOA2,70 a 79,Mujer,75,12.5,81312.23623,385197.4791,8545.480834,0.022184675,0.10509464800000001,3089197.6009,37.991792430377735,474.8974053797217
2013,NOA2,70 a 79,Varón,77,12.833333333333334,68546.20957,310455.6718,12910.15042,0.041584521,0.188342295,2577191.6172,37.59787205400685,482.5060246930879
2013,NOA2,80+,Mujer,67,11.166666666666666,97889.69055,2704000.1218,82869.3959018,0.280921026,1.540407799,2704000.1218,27.622930531370443,308.45605760030327
2013,NOA2,80+,Varón,35,5.833333333333333,96298.78607,2266735.9454,72560.4936879,0.409304074,1.873138098,2266735.9454,23.538572373615384,137.30833884608973
2013,Patagonia Norte,30 a 39,Mujer,3,0.3333333333333333,98257.61885,490368.2735,367.9282986,7.5031e-4,0.003744527,4983143.736,50.71508748453657,16.90502916151219
2013,Patagonia Norte,30 a 39,Varón,1,0.1111111111111111,96997.57994,483240.915,698.7938737,0.001446057,0.00720424,4397739.3413,45.33865013972843,5.037627793303159
2013,Patagonia Norte,40 a 49,Mujer,12,1.3333333333333333,97340.83661,484832.09620000003,748.8347317,0.001544524,0.007692914,4492775.462499999,46.15509398692027,61.54012531589369
2013,Patagonia Norte,40 a 49,Varón,19,2.111111111111111,95386.37498,474035.943,1158.372781,0.0024436390000000005,0.012144007,3914498.4263,41.03833935528808,86.63649419449706
2013,Patagonia Norte,50 a 59,Mujer,32,3.5555555555555554,95441.65065,473055.1896,1661.225453,0.003511695,0.017405665999999997,4007943.3663,41.99365097946365,149.31075903809298
2013,Patagonia Norte,50 a 59,Varón,66,7.333333333333333,92417.20236,455020.9095,2826.040916,0.006210794,0.030579165,3440462.4833,37.227511712571605,273.0017525588584
2013,Patagonia Norte,60 a 69,Mujer,78,8.666666666666666,91170.49198,445690.5758,4064.753633,0.009120125,0.044584092,3534888.1766999997,38.772283662519285,336.02645840850045
2013,Patagonia Norte,60 a 69,Varón,134,14.88888888888889,85071.85545,408249.9566,6843.728265,0.016763574,0.080446444,2985441.5738,35.09317573959179,522.4983943450334
2013,Patagonia Norte,70 a 79,Mujer,122,13.555555555555555,81312.23623,385197.4791,8545.480834,0.022184675,0.10509464800000001,3089197.6009,37.991792430377735,514.9998529451204
2013,Patagonia Norte,70 a 79,Varón,176,19.555555555555557,68546.20957,310455.6718,12910.15042,0.041584521,0.188342295,2577191.6172,37.59787205400685,735.2472757228006
2013,Patagonia Norte,80+,Mujer,177,19.666666666666668,97889.69055,2704000.1218,82869.3959018,0.280921026,1.540407799,2704000.1218,27.622930531370443,543.2509671169521
2013,Patagonia Norte,80+,Varón,146,16.22222222222222,96298.78607,2266735.9454,72560.4936879,0.409304074,1.873138098,2266735.9454,23.538572373615384,381.8479518386495
2013,Patagonia Sur,30 a 39,Mujer,2,0.2222222222222222,98257.61885,490368.2735,367.9282986,7.5031e-4,0.003744527,4983143.736,50.71508748453657,11.270019441008126
2013,Patagonia Sur,30 a 39,Varón,5,0.5555555555555556,96997.57994,483240.915,698.7938737,0.001446057,0.00720424,4397739.3413,45.33865013972843,25.188138966515794
2013,Patagonia Sur,40 a 49,Mujer,4,0.4444444444444444,97340.83661,484832.09620000003,748.8347317,0.001544524,0.007692914,4492775.462499999,46.15509398692027,20.513375105297897
2013,Patagonia Sur,40 a 49,Varón,9,1,95386.37498,474035.943,1158.372781,0.0024436390000000005,0.012144007,3914498.4263,41.03833935528808,41.03833935528808
2013,Patagonia Sur,50 a 59,Mujer,17,1.8888888888888888,95441.65065,473055.1896,1661.225453,0.003511695,0.017405665999999997,4007943.3663,41.99365097946365,79.32134073898689
2013,Patagonia Sur,50 a 59,Varón,40,4.444444444444445,92417.20236,455020.9095,2826.040916,0.006210794,0.030579165,3440462.4833,37.227511712571605,165.45560761142937
2013,Patagonia Sur,60 a 69,Mujer,45,5,91170.49198,445690.5758,4064.753633,0.009120125,0.044584092,3534888.1766999997,38.772283662519285,193.8614183125964
2013,Patagonia Sur,60 a 69,Varón,61,6.777777777777778,85071.85545,408249.9566,6843.728265,0.016763574,0.080446444,2985441.5738,35.09317573959179,237.85374667945547
2013,Patagonia Sur,70 a 79,Mujer,74,8.222222222222221,81312.23623,385197.4791,8545.480834,0.022184675,0.10509464800000001,3089197.6009,37.991792430377735,312.3769599831058
