anio_enfr,codprov_censo,region_deis,grupo_edad_10,sexo,dm_total,dm_total_se,dm2_total,dm2_total_se,dm2_prev,dm2_prev_se,dm2_prev_cv,dm2_prev_cv_cat
2005,66,NOA1,50 a 59,Mujer,4020,1074.21,3618,966.79,0.09,0.02,0.27,Alta
2005,66,NOA1,50 a 59,Varón,1072,622.91,964.8,560.62,0.03,0.01,0.58,Muy alta
2005,66,NOA1,60 a 69,Mujer,1631,519.03,1467.9,467.12,0.07,0.02,0.32,Muy alta
2005,66,NOA1,60 a 69,Varón,2103,916.47,1892.7,824.83,0.11,0.04,0.41,Muy alta
2005,66,NOA1,70 a 79,Mujer,1803,561.93,1622.7,505.73,0.12,0.04,0.31,Muy alta
2005,66,NOA1,70 a 79,Varón,1896,949.26,1706.4,854.33,0.11,0.05,0.48,Muy alta
2005,66,NOA1,80+,Mujer,1094,463.25,984.6,416.93,0.12,0.06,0.47,Muy alta
2005,66,NOA1,80+,Varón,357,207.72,321.3,186.95,0.09,0.06,0.63,Muy alta
2005,70,Cuyo,30 a 39,Mujer,4299,1222.22,3869.1,1100,0.09,0.02,0.27,Alta
2005,70,Cuyo,30 a 39,Varón,1355,697.7,1219.5,627.93,0.03,0.02,0.5,Muy alta
2005,70,Cuyo,40 a 49,Mujer,2378,707.68,2140.2,636.91,0.07,0.02,0.29,Alta
2005,70,Cuyo,40 a 49,Varón,980,412.35,882,371.11,0.03,0.01,0.42,Muy alta
2005,70,Cuyo,50 a 59,Mujer,4218,1117.83,3796.2,1006.05,0.13,0.03,0.24,Alta
2005,70,Cuyo,50 a 59,Varón,1837,838.8,1653.3,754.92,0.06,0.03,0.44,Muy alta
2005,70,Cuyo,60 a 69,Mujer,3355,924.04,3019.5,831.64,0.16,0.04,0.25,Alta
2005,70,Cuyo,60 a 69,Varón,2807,883.76,2526.3,795.38,0.15,0.04,0.29,Alta
2005,70,Cuyo,70 a 79,Mujer,3537,975.07,3183.3,877.56,0.23,0.05,0.23,Alta
2005,70,Cuyo,70 a 79,Varón,3317,1058.28,2985.3,952.45,0.3,0.08,0.26,Alta
2005,70,Cuyo,80+,Mujer,412,306,370.8,275.4,0.08,0.06,0.7,Muy alta
2005,70,Cuyo,80+,Varón,1357,710.32,1221.3,639.28,0.29,0.12,0.4,Muy alta
2005,74,Cuyo,30 a 39,Mujer,3780,853.29,3402,767.96,0.14,0.03,0.2,Moderada
2005,74,Cuyo,30 a 39,Varón,1199,459.78,1079.1,413.81,0.05,0.02,0.37,Muy alta
2005,74,Cuyo,40 a 49,Mujer,2362,545.92,2125.8,491.33,0.11,0.02,0.22,Alta
2005,74,Cuyo,40 a 49,Varón,1270,495.96,1143,446.36,0.07,0.03,0.37,Muy alta
2005,74,Cuyo,50 a 59,Mujer,3101,727.03,2790.9,654.32,0.14,0.03,0.22,Alta
2005,74,Cuyo,50 a 59,Varón,2100,647.24,1890,582.51,0.12,0.03,0.29,Alta
2005,74,Cuyo,60 a 69,Mujer,908,311.19,817.2,280.07,0.08,0.03,0.33,Muy alta
2005,74,Cuyo,60 a 69,Varón,1909,706.3,1718.1,635.67,0.2,0.07,0.33,Muy alta
2005,74,Cuyo,70 a 79,Mujer,695,243.09,625.5,218.78,0.09,0.03,0.34,Muy alta
2005,74,Cuyo,70 a 79,Varón,629,246.62,566.1,221.96,0.11,0.04,0.39,Muy alta
2005,74,Cuyo,80+,Mujer,686,287.62,617.4,258.86,0.19,0.07,0.38,Muy alta
2005,74,Cuyo,80+,Varón,0,0,0,0,0,0,NA,NA
2005,78,Patagonia Sur,30 a 39,Mujer,828,325.76,745.2,293.19,0.06,0.02,0.38,Muy alta
2005,78,Patagonia Sur,30 a 39,Varón,322,187.84,289.8,169.06,0.02,0.01,0.58,Muy alta
2005,78,Patagonia Sur,40 a 49,Mujer,1507,390.94,1356.3,351.84,0.13,0.03,0.24,Alta
2005,78,Patagonia Sur,40 a 49,Varón,1156,383.62,1040.4,345.26,0.09,0.03,0.31,Muy alta
2005,78,Patagonia Sur,50 a 59,Mujer,1237,350.72,1113.3,315.65,0.15,0.04,0.26,Alta
2005,78,Patagonia Sur,50 a 59,Varón,1501,431.95,1350.9,388.76,0.14,0.04,0.27,Alta
2005,78,Patagonia Sur,60 a 69,Mujer,1039,314.2,935.1,282.78,0.16,0.04,0.28,Alta
2005,78,Patagonia Sur,60 a 69,Varón,772,261.55,694.8,235.39,0.13,0.04,0.32,Muy alta
2005,78,Patagonia Sur,70 a 79,Mujer,447,172.64,402.3,155.38,0.13,0.05,0.37,Muy alta
2005,78,Patagonia Sur,70 a 79,Varón,177,93.05,159.3,83.74,0.14,0.07,0.49,Muy alta
2005,78,Patagonia Sur,80+,Mujer,82,49.11,73.8,44.2,0.13,0.08,0.61,Muy alta
2005,78,Patagonia Sur,80+,Varón,0,0,0,0,0,0,NA,NA
2005,82,Centro,30 a 39,Mujer,6543,2973.05,5888.7,2675.75,0.03,0.01,0.45,Muy alta
2005,82,Centro,30 a 39,Varón,6731,3560.59,6057.9,3204.53,0.04,0.02,0.52,Muy alta
2005,82,Centro,40 a 49,Mujer,5941,2032.19,5346.9,1828.97,0.04,0.01,0.34,Muy alta
2005,82,Centro,40 a 49,Varón,8251,2995.79,7425.9,2696.21,0.04,0.02,0.36,Muy alta
2005,82,Centro,50 a 59,Mujer,19556,5259.1,17600.4,4733.19,0.13,0.03,0.25,Alta
2005,82,Centro,50 a 59,Varón,29172,8116.61,26254.8,7304.95,0.2,0.05,0.25,Alta
2005,82,Centro,60 a 69,Mujer,20607,5111.1,18546.3,4599.99,0.16,0.04,0.22,Alta
2005,82,Centro,60 a 69,Varón,27203,7885.26,24482.7,7096.73,0.27,0.06,0.23,Alta
2005,82,Centro,70 a 79,Mujer,6670,2265.14,6003,2038.63,0.06,0.02,0.34,Muy alta
2005,82,Centro,70 a 79,Varón,7529,3790.52,6776.1,3411.47,0.11,0.05,0.47,Muy alta
2005,82,Centro,80+,Mujer,2750,1366.1,2475,1229.49,0.05,0.03,0.49,Muy alta
2005,82,Centro,80+,Varón,1164,587.28,1047.6,528.55,0.1,0.05,0.52,Muy alta
