anio,codprov_censo,prov_nombre,region_deis,sexo,grupo_edad10,pob_proy,proy_pob,pob_est_2010
2005,06,Buenos Aires,Centro,Mujer,60 a 69,577304,NA,1572788
2005,06,Buenos Aires,Centro,Mujer,70 a 79,447520,NA,1067525
2005,06,Buenos Aires,Centro,Mujer,80+,211345,NA,671649
2005,06,Buenos Aires,Centro,Varón,30 a 39,1017305,NA,2875168
2005,06,Buenos Aires,Centro,Varón,40 a 49,826228,NA,2226600
2005,06,Buenos Aires,Centro,Varón,50 a 59,694872,NA,1896227
2005,06,Buenos Aires,Centro,Varón,60 a 69,493284,NA,1360347
2005,06,Buenos Aires,Centro,Varón,70 a 79,306565,NA,769536
2005,06,Buenos Aires,Centro,Varón,80+,103959,NA,329851
2005,10,Catamarca,NOA2,Mujer,30 a 39,23062,NA,2948351
2005,10,Catamarca,NOA2,Mujer,40 a 49,18606,NA,2333346
2005,10,Catamarca,NOA2,Mujer,50 a 59,14919,NA,2043266
2005,10,Catamarca,NOA2,Mujer,60 a 69,10039,NA,1572788
2005,10,Catamarca,NOA2,Mujer,70 a 79,7177,NA,1067525
2005,10,Catamarca,NOA2,Mujer,80+,3101,NA,671649
2005,10,Catamarca,NOA2,Varón,30 a 39,23915,NA,2875168
2005,10,Catamarca,NOA2,Varón,40 a 49,19310,NA,2226600
2005,10,Catamarca,NOA2,Varón,50 a 59,15124,NA,1896227
2005,10,Catamarca,NOA2,Varón,60 a 69,8974,NA,1360347
2005,10,Catamarca,NOA2,Varón,70 a 79,5396,NA,769536
2005,10,Catamarca,NOA2,Varón,80+,1816,NA,329851
2005,14,Córdoba,Centro,Mujer,30 a 39,210583,NA,2948351
2005,14,Córdoba,Centro,Mujer,40 a 49,189098,NA,2333346
2005,14,Córdoba,Centro,Mujer,50 a 59,170102,NA,2043266
2005,14,Córdoba,Centro,Mujer,60 a 69,133541,NA,1572788
2005,14,Córdoba,Centro,Mujer,70 a 79,101148,NA,1067525
2005,14,Córdoba,Centro,Mujer,80+,49847,NA,671649
2005,14,Córdoba,Centro,Varón,30 a 39,213479,NA,2875168
2005,14,Córdoba,Centro,Varón,40 a 49,180777,NA,2226600
2005,14,Córdoba,Centro,Varón,50 a 59,155691,NA,1896227
2005,14,Córdoba,Centro,Varón,60 a 69,113005,NA,1360347
2005,14,Córdoba,Centro,Varón,70 a 79,70342,NA,769536
2005,14,Córdoba,Centro,Varón,80+,23479,NA,329851
2005,18,Corrientes,NEA,Mujer,30 a 39,59154,NA,2948351
2005,18,Corrientes,NEA,Mujer,40 a 49,53391,NA,2333346
2005,18,Corrientes,NEA,Mujer,50 a 59,40394,NA,2043266
2005,18,Corrientes,NEA,Mujer,60 a 69,28383,NA,1572788
2005,18,Corrientes,NEA,Mujer,70 a 79,18634,NA,1067525
2005,18,Corrientes,NEA,Mujer,80+,8506,NA,671649
2005,18,Corrientes,NEA,Varón,30 a 39,57748,NA,2875168
2005,18,Corrientes,NEA,Varón,40 a 49,51931,NA,2226600
2005,18,Corrientes,NEA,Varón,50 a 59,40887,NA,1896227
2005,18,Corrientes,NEA,Varón,60 a 69,24867,NA,1360347
2005,18,Corrientes,NEA,Varón,70 a 79,14021,NA,769536
2005,18,Corrientes,NEA,Varón,80+,4844,NA,329851
2005,22,Chaco,NEA,Mujer,30 a 39,61165,NA,2948351
2005,22,Chaco,NEA,Mujer,40 a 49,54918,NA,2333346
2005,22,Chaco,NEA,Mujer,50 a 59,39620,NA,2043266
2005,22,Chaco,NEA,Mujer,60 a 69,27401,NA,1572788
2005,22,Chaco,NEA,Mujer,70 a 79,17748,NA,1067525
