anio_enfr,prov_id,prov_nombre,sexo,AVAD_est_sum,AVP_est_sum,AVD_est_sum,pob_nac_2010,AVAD_tasa_aj,AVP_tasa_aj,AVD_tasa_aj
2005,94,Tierra del Fuego,Mujeres,254744.68812376025,108129.28869381268,146615.39942994757,10636925,2394.91,1016.55,1378.36
2009,94,Tierra del Fuego,Mujeres,249198.33290931856,65218.96349665611,183979.36941266246,10636925,2342.77,613.14,1729.63
2013,94,Tierra del Fuego,Mujeres,224271.59302461435,50694.28584040307,173577.30718421127,10636925,2108.43,476.59,1631.84
2018,94,Tierra del Fuego,Mujeres,267918.90647060005,66701.51044245782,201217.39602814225,10636925,2518.76,627.08,1891.69
2005,2,CABA,Varones,216474.7083596313,21208.80101658862,195265.90734304267,9457729,2288.87,224.25,2064.62
2009,2,CABA,Varones,175088.903981893,18296.3607645395,156792.5432173535,9457729,1851.28,193.45,1657.82
2013,2,CABA,Varones,204771.43477712444,28210.22545549972,176561.20932162474,9457729,2165.12,298.28,1866.85
2018,2,CABA,Varones,215479.52368892345,21884.266553715053,193595.2571352084,9457729,2278.34,231.39,2046.95
2005,6,Buenos Aires,Varones,229202.6436753226,55039.91698710368,174162.7266882189,9457729,2423.44,581.96,1841.49
2009,6,Buenos Aires,Varones,224126.8486656977,45835.11603668723,178291.73262901048,9457729,2369.77,484.63,1885.14
2013,6,Buenos Aires,Varones,197736.91205580384,44301.892408910084,153435.01964689375,9457729,2090.74,468.42,1622.32
2018,6,Buenos Aires,Varones,278658.9938036547,46911.302285873855,231747.6915177808,9457729,2946.36,496.01,2450.35
2005,10,Catamarca,Varones,171711.88247630803,87763.34116007383,83948.5413162342,9457729,1815.57,927.95,887.62
2009,10,Catamarca,Varones,182945.08544269146,76328.41799468294,106616.66744800852,9457729,1934.34,807.05,1127.3
2013,10,Catamarca,Varones,214499.41508368237,64669.3975340152,149830.0175496672,9457729,2267.98,683.77,1584.21
2018,10,Catamarca,Varones,198252.14889450156,102145.21253363026,96106.93636087129,9457729,2096.19,1080.02,1016.17
2005,14,Córdoba,Varones,247440.05223194047,94537.59094958594,152902.46128235455,9457729,2616.27,999.58,1616.69
2009,14,Córdoba,Varones,232775.82832117143,68344.26257820512,164431.56574296634,9457729,2461.22,722.63,1738.59
2013,14,Córdoba,Varones,264652.93094076903,58527.64399928318,206125.28694148586,9457729,2798.27,618.83,2179.44
2018,14,Córdoba,Varones,263186.7461793102,74440.26323017746,188746.48294913274,9457729,2782.77,787.08,1995.69
2005,18,Corrientes,Varones,213858.38691276658,78319.03487811587,135539.3520346507,9457729,2261.2,828.1,1433.11
2009,18,Corrientes,Varones,171218.8443656569,67241.52125301275,103977.32311264415,9457729,1810.36,710.97,1099.39
2013,18,Corrientes,Varones,156022.64273942576,70154.71618888562,85867.92655054016,9457729,1649.68,741.77,907.91
2018,18,Corrientes,Varones,219366.39801815795,90053.52675303613,129312.87126512182,9457729,2319.44,952.17,1367.27
2005,22,Chaco,Varones,183589.03445729637,82698.95988398348,100890.0745733129,9457729,1941.15,874.41,1066.75
2009,22,Chaco,Varones,218713.15303517104,80040.48071689019,138672.67231828085,9457729,2312.53,846.3,1466.24
2013,22,Chaco,Varones,196761.28343617657,81387.62248035152,115373.66095582503,9457729,2080.43,860.54,1219.89
2018,22,Chaco,Varones,246224.8058051389,109093.03510059869,137131.77070454022,9457729,2603.42,1153.48,1449.94
2005,26,Chubut,Varones,188223.19256794918,60706.18140654965,127517.01116139954,9457729,1990.15,641.87,1348.28
2009,26,Chubut,Varones,275803.7288277761,60817.599732998904,214986.12909477716,9457729,2916.17,643.05,2273.13
2013,26,Chubut,Varones,206416.43351819168,71580.07605803735,134836.35746015437,9457729,2182.52,756.84,1425.67
2018,26,Chubut,Varones,298346.1197396614,59933.44690394906,238412.67283571235,9457729,3154.52,633.7,2520.82
2005,30,Entre Ríos,Varones,212050.98832277357,77298.11114213496,134752.8771806386,9457729,2242.09,817.3,1424.79
2009,30,Entre Ríos,Varones,189505.68554891265,54694.741216791925,134810.9443321207,9457729,2003.71,578.31,1425.41
2013,30,Entre Ríos,Varones,175267.42086311826,48777.08664725013,126490.33421586812,9457729,1853.17,515.74,1337.43
2018,30,Entre Ríos,Varones,192330.95966346658,63998.63555131922,128332.32411214735,9457729,2033.59,676.68,1356.9
2005,34,Formosa,Varones,168126.86271366468,105796.50043473435,62330.36227893033,9457729,1777.67,1118.62,659.04
2009,34,Formosa,Varones,181161.4215798084,108660.91506228124,72500.50651752717,9457729,1915.49,1148.91,766.57
2013,34,Formosa,Varones,288192.9811010001,179572.65411934757,108620.32698165253,9457729,3047.17,1898.69,1148.48
2018,34,Formosa,Varones,368617.0642899893,181911.28816066205,186705.77612932725,9457729,3897.52,1923.41,1974.11
2005,38,Jujuy,Varones,152097.60772313288,55465.216495976245,96632.39122715664,9457729,1608.18,586.45,1021.73
2009,38,Jujuy,Varones,242962.08210543005,72236.6356305073,170725.44647492276,9457729,2568.93,763.78,1805.14
2013,38,Jujuy,Varones,139667.3575051173,55217.40092789558,84449.95657722173,9457729,1476.75,583.83,892.92
2018,38,Jujuy,Varones,178500.83598029558,49295.54172065356,129205.29425964202,9457729,1887.35,521.22,1366.13
2005,42,La Pampa,Varones,125203.50078640152,42631.94719289385,82571.55359350768,9457729,1323.82,450.76,873.06
2009,42,La Pampa,Varones,163327.52104529995,38043.740275046555,125283.78077025338,9457729,1726.92,402.25,1324.67
2013,42,La Pampa,Varones,115388.57752184886,32866.34232365325,82522.2351981956,9457729,1220.05,347.51,872.54
2018,42,La Pampa,Varones,203717.3622168525,41346.85263363799,162370.5095832145,9457729,2153.98,437.18,1716.8
2005,46,La Rioja,Varones,198629.96385617967,73977.08394547629,124652.87991070338,9457729,2100.19,782.19,1318
2009,46,La Rioja,Varones,246406.92648824662,76867.13094512021,169539.79554312638,9457729,2605.35,812.74,1792.61
2013,46,La Rioja,Varones,222455.22934507855,69477.88063160224,152977.34871347633,9457729,2352.1,734.61,1617.49
2018,46,La Rioja,Varones,316153.32598597003,107828.45185790816,208324.87412806184,9457729,3342.8,1140.11,2202.69
2005,50,Mendoza,Varones,252010.39197500056,129537.81575870878,122472.5762162918,9457729,2664.6,1369.65,1294.95
2009,50,Mendoza,Varones,269801.4764827374,123431.53162267005,146369.94486006736,9457729,2852.71,1305.09,1547.62
2013,50,Mendoza,Varones,268073.4887194073,97725.45638971661,170348.0323296907,9457729,2834.44,1033.29,1801.15
2018,50,Mendoza,Varones,279496.5000659775,73074.22837500482,206422.27169097267,9457729,2955.22,772.64,2182.58
2005,54,Misiones,Varones,204603.92534758948,90461.04677032138,114142.87857726809,9457729,2163.35,956.48,1206.87
2009,54,Misiones,Varones,202350.29217310165,94101.37024223653,108248.92193086511,9457729,2139.52,994.97,1144.56
2013,54,Misiones,Varones,241939.5370939147,92072.51860398811,149867.0184899266,9457729,2558.11,973.52,1584.6
2018,54,Misiones,Varones,239534.4298577796,114463.4563552297,125070.97350254994,9457729,2532.68,1210.26,1322.42
2005,58,Neuquén,Varones,251636.67373779396,124452.39404874016,127184.2796890538,9457729,2660.65,1315.88,1344.77
2009,58,Neuquén,Varones,251506.13350125964,119265.01719140356,132241.1163098561,9457729,2659.27,1261.03,1398.23
2013,58,Neuquén,Varones,346982.0129993105,120865.81235045918,226116.2006488513,9457729,3668.77,1277.96,2390.81
2018,58,Neuquén,Varones,274787.44168401125,118006.11405445627,156781.32762955502,9457729,2905.43,1247.72,1657.71
2005,62,Río Negro,Varones,204433.71285876218,44562.61123421179,159871.10162455039,9457729,2161.55,471.18,1690.38
2009,62,Río Negro,Varones,249423.06012284738,54235.59888799656,195187.4612348508,9457729,2637.24,573.45,2063.79
2013,62,Río Negro,Varones,165127.31844669537,52881.706326110216,112245.61212058517,9457729,1745.95,559.14,1186.81
2018,62,Río Negro,Varones,223751.2829935046,56091.90006456597,167659.38292893863,9457729,2365.8,593.08,1772.72
2005,66,Salta,Varones,113680.34193565656,46020.138722260046,67660.20321339651,9457729,1201.98,486.59,715.4
2009,66,Salta,Varones,244381.47942451775,75266.42147107347,169115.05795344428,9457729,2583.93,795.82,1788.11
2013,66,Salta,Varones,212677.25651764008,80386.90590100687,132290.3506166332,9457729,2248.71,849.96,1398.75
2018,66,Salta,Varones,244491.02804717608,89720.4447300765,154770.58331709958,9457729,2585.09,948.65,1636.45
2005,70,San Juan,Varones,312457.6147511188,144216.67434450125,168240.94040661756,9457729,3303.73,1524.86,1778.87
2009,70,San Juan,Varones,351048.8976677206,138180.04323218213,212868.8544355385,9457729,3711.77,1461.03,2250.74
2013,70,San Juan,Varones,268507.94324349763,121654.42741696404,146853.51582653358,9457729,2839.03,1286.3,1552.74
2018,70,San Juan,Varones,318062.04089577857,95563.39462491061,222498.64627086793,9457729,3362.99,1010.43,2352.56
2005,74,San Luis,Varones,220579.56861071603,115279.46209084033,105300.10651987567,9457729,2332.27,1218.89,1113.38
2009,74,San Luis,Varones,256389.92883861915,103008.31478530548,153381.61405331368,9457729,2710.9,1089.14,1621.76
2013,74,San Luis,Varones,182398.9831602469,73843.90891405664,108555.07424619024,9457729,1928.57,780.78,1147.79
2018,74,San Luis,Varones,336186.0522522893,58835.415578419,277350.6366738703,9457729,3554.62,622.09,2932.53
2005,78,Santa Cruz,Varones,187492.93381660152,76355.09184631323,111137.8419702883,9457729,1982.43,807.33,1175.1
2009,78,Santa Cruz,Varones,248154.60956685268,83777.90761551655,164376.7019513361,9457729,2623.83,885.81,1738.01
2013,78,Santa Cruz,Varones,235412.8081004669,78851.9830767865,156560.8250236804,9457729,2489.11,833.73,1655.37
2018,78,Santa Cruz,Varones,393039.7302374165,108937.14233400299,284102.58790341363,9457729,4155.75,1151.83,3003.92
2005,82,Santa Fe,Varones,266732.036690444,113100.1556656235,153631.88102482047,9457729,2820.25,1195.85,1624.41
2009,82,Santa Fe,Varones,239654.15337955224,69699.79752490595,169954.3558546463,9457729,2533.95,736.96,1796.99
2013,82,Santa Fe,Varones,171530.52041632595,60873.52057764895,110656.99983867702,9457729,1813.65,643.64,1170.02
2018,82,Santa Fe,Varones,253372.75765922517,48807.1744387146,204565.58322051057,9457729,2679,516.06,2162.95
2005,86,Santiago del Estero,Varones,209188.58093087023,78429.05682075513,130759.5241101151,9457729,2211.83,829.26,1382.57
2009,86,Santiago del Estero,Varones,228124.43103240506,63793.04050247165,164331.3905299334,9457729,2412.04,674.51,1737.54
2013,86,Santiago del Estero,Varones,176761.22171784707,45940.09456398205,130821.12715386503,9457729,1868.96,485.74,1383.22
2018,86,Santiago del Estero,Varones,240347.5967415521,60157.55894016377,180190.0378013883,9457729,2541.28,636.07,1905.21
2005,90,Tucumán,Varones,218022.2110522935,105007.89021894525,113014.32083334825,9457729,2305.23,1110.29,1194.94
2009,90,Tucumán,Varones,217987.54815096676,91106.80320576385,126880.74494520291,9457729,2304.86,963.31,1341.56
2013,90,Tucumán,Varones,220181.76484713194,92143.06181265837,128038.70303447357,9457729,2328.06,974.26,1353.8
2018,90,Tucumán,Varones,238285.56512164653,70657.77016897456,167627.794952672,9457729,2519.48,747.09,1772.39
2005,94,Tierra del Fuego,Varones,205126.04654039443,53150.57094655995,151975.47559383445,9457729,2168.87,561.98,1606.89
2009,94,Tierra del Fuego,Varones,334417.6318872254,69047.32672704097,265370.3051601844,9457729,3535.92,730.06,2805.86
2013,94,Tierra del Fuego,Varones,240695.9890338504,38487.78796711874,202208.20106673165,9457729,2544.97,406.95,2138.02
2018,94,Tierra del Fuego,Varones,402827.52578408865,78243.52122927498,324584.00455481367,9457729,4259.24,827.3,3431.94
