prov_id,grupo_edad,sexo,anio,value
46,55-59,Varón,2005,5853
46,55-59,Mujer,2005,5749
46,60-64,Varón,2001,3892
46,60-64,Mujer,2001,4150
46,60-64,Varón,2005,4441
46,60-64,Mujer,2005,4530
46,65-69,Varón,2001,3065
46,65-69,Mujer,2001,3530
46,65-69,Varón,2005,3409
46,65-69,Mujer,2005,3883
46,70-74,Varón,2001,2530
46,70-74,Mujer,2001,2814
46,70-74,Varón,2005,2562
46,70-74,Mujer,2005,3115
46,75-79,Varón,2001,1557
46,75-79,Mujer,2001,2115
46,75-79,Varón,2005,1905
46,75-79,Mujer,2005,2290
46,80 y más,Varón,2001,1363
46,80 y más,Mujer,2001,2075
46,80 y más,Varón,2005,1437
46,80 y más,Mujer,2005,2210
50,20-24,Varón,2001,73204
50,20-24,Mujer,2001,71406
50,20-24,Varón,2005,72161
50,20-24,Mujer,2005,70370
50,25-29,Varón,2001,61570
50,25-29,Mujer,2001,61526
50,25-29,Varón,2005,70951
50,25-29,Mujer,2005,69757
50,30-34,Varón,2001,50613
50,30-34,Mujer,2001,52422
50,30-34,Varón,2005,57401
50,30-34,Mujer,2005,58296
50,35-39,Varón,2001,45919
50,35-39,Mujer,2001,48283
50,35-39,Varón,2005,48145
50,35-39,Mujer,2005,50622
50,40-44,Varón,2001,43563
50,40-44,Mujer,2001,47499
50,40-44,Varón,2005,44704
50,40-44,Mujer,2005,47693
50,45-49,Varón,2001,42911
50,45-49,Mujer,2001,46679
50,45-49,Varón,2005,42584
50,45-49,Mujer,2005,47061
50,50-54,Varón,2001,38485
50,50-54,Mujer,2001,42407
50,50-54,Varón,2005,41581
50,50-54,Mujer,2005,45616
50,55-59,Varón,2001,32693
50,55-59,Mujer,2001,36157
50,55-59,Varón,2005,36135
50,55-59,Mujer,2005,40471
50,60-64,Varón,2001,26978
50,60-64,Mujer,2001,30757
50,60-64,Varón,2005,29871
50,60-64,Mujer,2005,33834
50,65-69,Varón,2001,23064
50,65-69,Mujer,2001,27296
50,65-69,Varón,2005,23902
50,65-69,Mujer,2005,28317
50,70-74,Varón,2001,18811
50,70-74,Mujer,2001,24338
50,70-74,Varón,2005,19358
50,70-74,Mujer,2005,24587
