anio,sexo,grupo_edad_10,comp_tipo,comp_qualidiab,comp_frec,dw
2013,Mujer,80+,macrovascular,Claudicación miembros inferiores,0.136363636363636,0.0141852508
2013,Mujer,80+,macrovascular,IAM,0.272727272727273,0.25318521505
2013,Mujer,80+,macrovascular,IC,0.0909090909090909,0.0852958594249999
2013,Mujer,80+,microvascular,Nefropatía,0.227272727272727,0.242893275079427
2013,Mujer,80+,microvascular,Neuropatía periférica,0.272727272727273,0.133189991499999
2013,Mujer,80+,microvascular,Retinopatía no proliferativa,0.181818181818182,0.1074453071
2013,Mujer,80+,microvascular,Retinopatía proliferativa,0.0909090909090909,0.1840484878
2013,Mujer,,,Sin complicaciones,1,0.0490114147
2013,Varón,0 a 9,microvascular,Disfunción eréctil,0.5,0.133189991499999
2013,Varón,0 a 9,macrovascular,IAM,0.5,0.25318521505
2013,Varón,0 a 9,macrovascular,IC,0.5,0.0852958594249999
2013,Varón,0 a 9,microvascular,Nefropatía,0.5,0.242893275079427
2013,Varón,0 a 9,microvascular,Neuropatía periférica,1,0.133189991499999
2013,Varón,0 a 9,microvascular,Retinopatía no proliferativa,0.5,0.1074453071
2013,Varón,20 a 29,,Sin complicaciones,1,0.0490114147
2013,Varón,30 a 39,,Sin complicaciones,0.777777777777778,0.0490114147
2013,Varón,30 a 39,microvascular,Disfunción eréctil,0.222222222222222,0.133189991499999
2013,Varón,40 a 49,macrovascular,ACV,0.024390243902439,0.403952630975241
2013,Varón,40 a 49,,Sin complicaciones,0.51219512195122,0.0490114147
2013,Varón,40 a 49,microvascular,Amputación,0.024390243902439,0.224603255005897
2013,Varón,40 a 49,macrovascular,Claudicación miembros inferiores,0.0487804878048781,0.0141852508
2013,Varón,40 a 49,microvascular,Disfunción eréctil,0.195121951219512,0.133189991499999
2013,Varón,40 a 49,macrovascular,IAM,0.024390243902439,0.25318521505
2013,Varón,40 a 49,macrovascular,IC,0.0731707317073171,0.0852958594249999
2013,Varón,40 a 49,microvascular,Nefropatía,0.146341463414634,0.242893275079427
2013,Varón,40 a 49,microvascular,Neuropatía periférica,0.268292682926829,0.133189991499999
2013,Varón,40 a 49,microvascular,Retinopatía no proliferativa,0.0731707317073171,0.1074453071
2013,Varón,40 a 49,microvascular,Retinopatía proliferativa,0.146341463414634,0.1840484878
2013,Varón,50 a 59,,Sin complicaciones,0.577777777777778,0.0490114147
2013,Varón,50 a 59,microvascular,Amputación,0.0333333333333333,0.224603255005897
2013,Varón,50 a 59,macrovascular,Claudicación miembros inferiores,0.0777777777777778,0.0141852508
2013,Varón,50 a 59,microvascular,Disfunción eréctil,0.166666666666667,0.133189991499999
2013,Varón,50 a 59,macrovascular,IAM,0.0333333333333333,0.25318521505
2013,Varón,50 a 59,macrovascular,IC,0.0222222222222222,0.0852958594249999
2013,Varón,50 a 59,microvascular,Nefropatía,0.0777777777777778,0.242893275079427
2013,Varón,50 a 59,microvascular,Neuropatía periférica,0.233333333333333,0.133189991499999
2013,Varón,50 a 59,microvascular,Retinopatía no proliferativa,0.122222222222222,0.1074453071
2013,Varón,50 a 59,microvascular,Retinopatía proliferativa,0.0444444444444444,0.1840484878
2013,Varón,60 a 69,macrovascular,ACV,0.0265486725663717,0.403952630975241
2013,Varón,60 a 69,,Sin complicaciones,0.486725663716814,0.0490114147
2013,Varón,60 a 69,microvascular,Amputación,0.00884955752212389,0.224603255005897
2013,Varón,60 a 69,macrovascular,Claudicación miembros inferiores,0.106194690265487,0.0141852508
2013,Varón,60 a 69,microvascular,Disfunción eréctil,0.292035398230089,0.133189991499999
2013,Varón,60 a 69,macrovascular,IAM,0.106194690265487,0.25318521505
2013,Varón,60 a 69,macrovascular,IC,0.115044247787611,0.0852958594249999
2013,Varón,60 a 69,microvascular,Nefropatía,0.194690265486726,0.242893275079427
2013,Varón,60 a 69,microvascular,Neuropatía periférica,0.309734513274336,0.133189991499999
2013,Varón,60 a 69,microvascular,Retinopatía no proliferativa,0.106194690265487,0.1074453071
2013,Varón,60 a 69,microvascular,Retinopatía proliferativa,0.115044247787611,0.1840484878
2013,Varón,70 a 79,macrovascular,ACV,0.0461538461538462,0.403952630975241
2013,Varón,70 a 79,,Sin complicaciones,0.430769230769231,0.0490114147
2013,Varón,70 a 79,microvascular,Amputación,0.0307692307692308,0.224603255005897
2013,Varón,70 a 79,microvascular,Ceguera,0.0153846153846154,0.1873645834
2013,Varón,70 a 79,macrovascular,Claudicación miembros inferiores,0.107692307692308,0.0141852508
2013,Varón,70 a 79,microvascular,Disfunción eréctil,0.246153846153846,0.133189991499999
2013,Varón,70 a 79,macrovascular,IAM,0.184615384615385,0.25318521505
2013,Varón,70 a 79,macrovascular,IC,0.123076923076923,0.0852958594249999
2013,Varón,70 a 79,microvascular,Nefropatía,0.215384615384615,0.242893275079427
2013,Varón,70 a 79,microvascular,Neuropatía periférica,0.338461538461539,0.133189991499999
2013,Varón,70 a 79,microvascular,Retinopatía no proliferativa,0.153846153846154,0.1074453071
2013,Varón,70 a 79,microvascular,Retinopatía proliferativa,0.0615384615384615,0.1840484878
2013,Varón,80+,macrovascular,ACV,0.0625,0.403952630975241
2013,Varón,80+,,Sin complicaciones,0.5,0.0490114147
2013,Varón,80+,macrovascular,Claudicación miembros inferiores,0.125,0.0141852508
2013,Varón,80+,microvascular,Disfunción eréctil,0.3125,0.133189991499999
2013,Varón,80+,macrovascular,IAM,0.3125,0.25318521505
2013,Varón,80+,macrovascular,IC,0.0625,0.0852958594249999
2013,Varón,80+,microvascular,Nefropatía,0.1875,0.242893275079427
2013,Varón,80+,microvascular,Neuropatía periférica,0.1875,0.133189991499999
2013,Varón,80+,microvascular,Retinopatía no proliferativa,0.0625,0.1074453071
2013,Varón,80+,microvascular,Retinopatía proliferativa,0.125,0.1840484878
2013,Varón,,,Sin complicaciones,0.333333333333333,0.0490114147
2013,Varón,,microvascular,Ceguera,0.333333333333333,0.1873645834
2013,Varón,,macrovascular,IC,0.333333333333333,0.0852958594249999
2013,Varón,,microvascular,Nefropatía,0.666666666666667,0.242893275079427
2013,Varón,,microvascular,Retinopatía proliferativa,0.333333333333333,0.1840484878
2018,Mujer,10 a 19,microvascular,Nefropatía,1,0.242893275079427
2018,Mujer,10 a 19,microvascular,Neuropatía periférica,1,0.133189991499999
2018,Mujer,20 a 29,,Sin complicaciones,1,0.0490114147
2018,Mujer,30 a 39,,Sin complicaciones,0.777777777777778,0.0490114147
2018,Mujer,30 a 39,microvascular,Nefropatía,0.0185185185185185,0.242893275079427
2018,Mujer,30 a 39,microvascular,Neuropatía periférica,0.12962962962963,0.133189991499999
2018,Mujer,30 a 39,microvascular,Retinopatía no proliferativa,0.12962962962963,0.1074453071
2018,Mujer,30 a 39,microvascular,Retinopatía proliferativa,0.0185185185185185,0.1840484878
2018,Mujer,40 a 49,,Sin complicaciones,0.763736263736264,0.0490114147
2018,Mujer,40 a 49,microvascular,Ceguera,0.0054945054945055,0.1873645834
2018,Mujer,40 a 49,macrovascular,Claudicación miembros inferiores,0.0274725274725275,0.0141852508
2018,Mujer,40 a 49,macrovascular,IAM,0.010989010989011,0.25318521505
2018,Mujer,40 a 49,macrovascular,IC,0.0054945054945055,0.0852958594249999
2018,Mujer,40 a 49,microvascular,Nefropatía,0.032967032967033,0.242893275079427
2018,Mujer,40 a 49,microvascular,Neuropatía periférica,0.148351648351648,0.133189991499999
2018,Mujer,40 a 49,microvascular,Retinopatía no proliferativa,0.0989010989010989,0.1074453071
2018,Mujer,40 a 49,microvascular,Retinopatía proliferativa,0.0054945054945055,0.1840484878
2018,Mujer,50 a 59,macrovascular,ACV,0.0275689223057644,0.403952630975241
2018,Mujer,50 a 59,,Sin complicaciones,0.619047619047619,0.0490114147
2018,Mujer,50 a 59,microvascular,Amputación,0.0075187969924812,0.224603255005897
2018,Mujer,50 a 59,microvascular,Ceguera,0.0150375939849624,0.1873645834
2018,Mujer,50 a 59,macrovascular,Claudicación miembros inferiores,0.0676691729323308,0.0141852508
2018,Mujer,50 a 59,macrovascular,IAM,0.0200501253132832,0.25318521505
2018,Mujer,50 a 59,macrovascular,IC,0.0150375939849624,0.0852958594249999
2018,Mujer,50 a 59,microvascular,Nefropatía,0.0601503759398496,0.242893275079427
2018,Mujer,50 a 59,microvascular,Neuropatía periférica,0.215538847117795,0.133189991499999
2018,Mujer,50 a 59,microvascular,Retinopatía no proliferativa,0.152882205513784,0.1074453071
2018,Mujer,50 a 59,microvascular,Retinopatía proliferativa,0.0451127819548872,0.1840484878
2018,Mujer,60 a 69,macrovascular,ACV,0.03,0.403952630975241
2018,Mujer,60 a 69,,Sin complicaciones,0.545,0.0490114147
2018,Mujer,60 a 69,microvascular,Amputación,0.015,0.224603255005897
2018,Mujer,60 a 69,microvascular,Ceguera,0.0075,0.1873645834
2018,Mujer,60 a 69,macrovascular,Claudicación miembros inferiores,0.1,0.0141852508
